incidentid,alertid,detectorid,alerttitle,category,incidentgrade,entitytype,evidencerole,filename,folderpath,resourceidname,osfamily,osversion,countrycode,state,city,year,month,day,hour
612,123247,7,6,initialaccess,truepositive,ip,related,289573,117668,3586,5,66,31,6,3,2024,6,4,6
326,210035,58,43,exfiltration,falsepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,14,3
58352,712507,423,298,initialaccess,falsepositive,url,related,289573,117668,3586,5,66,242,1445,10630,2024,6,13,4
32992,774301,2,2,commandandcontrol,benignpositive,url,related,289573,117668,3586,5,66,242,1445,10630,2024,6,10,16
4359,188041,9,74,execution,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,15,1
417400,825450,0,0,initialaccess,falsepositive,ip,related,289573,117668,3586,5,66,8,6,3,2024,6,10,13
566,705663,2,2,commandandcontrol,benignpositive,url,related,289573,117668,3586,5,66,242,1445,10630,2024,6,14,23
38679,47423,313,3919,exfiltration,benignpositive,mailmessage,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,6,13
414,197969,3,4,suspiciousactivity,benignpositive,process,related,0,1694,3586,5,66,242,1445,10630,2024,6,9,10
70,831157,4,3,initialaccess,truepositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,8,2
251,473068,3,4,suspiciousactivity,truepositive,machine,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,12,18
159032,1380964,9,373,execution,truepositive,cloudapplication,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,7,7
107,409854,4,3,initialaccess,truepositive,ip,related,289573,117668,3586,5,66,7,50,46,2024,6,6,0
2472,1148,17,284,impact,falsepositive,ip,related,289573,117668,3586,5,66,242,1445,10630,2024,5,26,21
93925,289288,447,473,initialaccess,benignpositive,azureresource,impacted,289573,117668,251,5,66,242,1445,10630,2024,6,12,14
6622,23284,13,11,initialaccess,benignpositive,mailmessage,related,289573,117668,3586,5,66,242,1445,10630,2024,6,10,10
110412,41503,1794,344,collection,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,3,17
84683,134887,39,26,execution,benignpositive,file,related,3,6,3586,5,66,242,1445,10630,2024,6,5,4
329953,709535,2,2,commandandcontrol,benignpositive,user,impacted,289573,117668,3586,5,66,242,1445,10630,2024,6,5,20
53360,215453,933,9966,exfiltration,benignpositive,file,impacted,12633,3509,3586,5,66,242,1445,10630,2024,6,13,13
54837,239519,1,1,initialaccess,benignpositive,url,related,289573,117668,3586,5,66,242,1445,10630,2024,6,9,4
46895,147425,6,5,initialaccess,benignpositive,mailmessage,related,289573,117668,3586,5,66,242,1445,10630,2024,6,4,20
