incidentid,alertid,detectorid,alerttitle,category,incidentgrade,entitytype,filename,folderpath,resourceidname,osfamily,osversion,countrycode,state,city,year,month,day,hour,evidencerole_related
612,123247,7,6,9,2,7,289573,117668,3586,5,66,31,6,3,2024,6,4,6,True
326,210035,58,43,6,1,19,289573,117668,3586,5,66,242,1445,10630,2024,6,14,3,False
58352,712507,423,298,9,1,18,289573,117668,3586,5,66,242,1445,10630,2024,6,13,4,True
32992,774301,2,2,1,0,18,289573,117668,3586,5,66,242,1445,10630,2024,6,10,16,True
4359,188041,9,74,5,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,15,1,False
417400,825450,0,0,9,1,7,289573,117668,3586,5,66,8,6,3,2024,6,10,13,True
566,705663,2,2,1,0,18,289573,117668,3586,5,66,242,1445,10630,2024,6,14,23,True
38679,47423,313,3919,6,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,6,13,False
414,197969,3,4,15,0,14,0,1694,3586,5,66,242,1445,10630,2024,6,9,10,True
70,831157,4,3,9,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,8,2,False
251,473068,3,4,15,2,8,289573,117668,3586,5,66,242,1445,10630,2024,6,12,18,False
159032,1380964,9,373,5,2,2,289573,117668,3586,5,66,242,1445,10630,2024,6,7,7,False
107,409854,4,3,9,2,7,289573,117668,3586,5,66,7,50,46,2024,6,6,0,True
2472,1148,17,284,8,1,7,289573,117668,3586,5,66,242,1445,10630,2024,5,26,21,True
93925,289288,447,473,9,0,1,289573,117668,251,5,66,242,1445,10630,2024,6,12,14,False
6622,23284,13,11,9,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,10,10,True
110412,41503,1794,344,0,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,3,17,False
84683,134887,39,26,5,0,5,3,6,3586,5,66,242,1445,10630,2024,6,5,4,True
329953,709535,2,2,1,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,5,20,False
53360,215453,933,9966,6,0,5,12633,3509,3586,5,66,242,1445,10630,2024,6,13,13,False
54837,239519,1,1,9,0,18,289573,117668,3586,5,66,242,1445,10630,2024,6,9,4,True
46895,147425,6,5,9,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,4,20,True
125436,462477,6,5,9,0,9,289573,117668,3586,5,66,242,1445,10630,2024,6,11,18,False
2640,327,8,7,9,1,8,289573,117668,3586,5,66,242,1445,10630,2024,5,29,23,False
478,939479,4,3,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,3,14,True
2442,1198,16,502,8,0,7,289573,117668,3586,5,66,242,1445,10630,2024,5,21,5,True
485993,1408328,5,39,15,2,19,289573,117668,3586,5,66,242,1445,10630,2024,6,13,0,False
211,160158,0,0,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,11,8,True
251904,1009993,0,0,9,1,3,289573,117668,3586,5,66,242,1445,10630,2024,6,13,16,True
63837,10597,20,3507,6,1,9,289573,117668,3586,5,66,242,1445,10630,2024,6,5,20,True
203600,643809,24,30456,6,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,6,21,False
260,520211,0,0,9,2,7,289573,117668,3586,5,66,39,62,58,2024,6,6,17,True
391638,1565403,9,32,5,1,2,289573,117668,3586,5,66,242,1445,10630,2024,6,12,22,False
2624,487,8,7,9,1,8,289573,117668,3586,5,66,242,1445,10630,2024,5,24,22,False
30133,239577,1,1,9,2,10,289573,117668,3586,5,66,242,1445,10630,2024,6,3,16,True
688,3542,22,10,8,1,7,289573,117668,3586,5,66,242,1445,10630,2024,6,1,18,True
86074,573023,5,97,15,0,7,289573,117668,3586,5,66,242,1445,10630,2024,6,9,5,True
520293,529009,0,0,9,2,3,289573,117668,3586,5,66,242,1445,10630,2024,6,9,0,True
518657,1381976,5,267,15,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,7,13,False
33356,95969,6,5,9,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,4,17,True
2548,427,8,7,9,1,8,289573,117668,3586,5,66,242,1445,10630,2024,5,25,4,False
178669,580340,5,2409,15,0,19,289573,117668,3586,5,66,242,1445,10630,2024,6,11,2,False
26726,1114326,58,43,6,1,11,289573,117668,3586,5,66,242,1445,10630,2024,6,10,1,False
77950,155901,1,1,9,0,11,289573,117668,3586,5,66,242,1445,10630,2024,6,9,19,True
11288,3523,15,13,6,0,5,125392,17280,3586,5,66,242,1445,10630,2024,6,11,13,False
155197,250634,2,2,1,0,14,0,2,3586,5,66,242,1445,10630,2024,6,5,12,True
